Sample	Dog_PCA	Wolf_Dog_PCA
CotonDeTulear01_33217	African_NearEast_India_Dogs	African_NearEast_India_Dogs
CotonDeTulear02	African_NearEast_India_Dogs	African_NearEast_India_Dogs
CotonDeTulear03_33882	African_NearEast_India_Dogs	African_NearEast_India_Dogs
Coyote01	Wolves	Outgroup
Coyote02	Wolves	Outgroup
Coyote03	Wolves	Outgroup
Coyote04	Wolves	Outgroup
Coyote05	Wolves	Outgroup
Coyote06	Wolves	Outgroup
Coyote07	Wolves	Outgroup
Coyote08	Wolves	Outgroup
CretanTracer01	European_Dogs	European_Dogs
CretanTracer02	European_Dogs	European_Dogs
CretanTracer03	European_Dogs	European_Dogs
CretanTracer04	European_Dogs	European_Dogs
CretanTracer05	European_Dogs	European_Dogs
CurlyCoatedRetriever01	European_Dogs	European_Dogs
CurlyCoatedRetriever02	European_Dogs	European_Dogs
CurlyCoatedRetriever03	European_Dogs	European_Dogs
CurlyCoatedRetriever04	European_Dogs	European_Dogs
CurlyCoatedRetriever05	European_Dogs	European_Dogs
Dachshund01	European_Dogs	European_Dogs
Dachshund02	European_Dogs	European_Dogs
Dachshund03	European_Dogs	European_Dogs
Dachshund04	European_Dogs	European_Dogs
Dachshund05	European_Dogs	European_Dogs
Dachshund06_8242	European_Dogs	European_Dogs
Dachshund07_8249	European_Dogs	European_Dogs
Dachshund08_12335	European_Dogs	European_Dogs
Dachshund09_27368	European_Dogs	European_Dogs
Dachshund10_8257	European_Dogs	European_Dogs
Dachshund11_8272	European_Dogs	European_Dogs
Dachshund12	European_Dogs	European_Dogs
Dachshund13	European_Dogs	European_Dogs
Dachshund14	European_Dogs	European_Dogs
Dachshund15	European_Dogs	European_Dogs
Dachshund16	European_Dogs	European_Dogs
Dalmatian01	European_Dogs	European_Dogs
Dalmatian02	European_Dogs	European_Dogs
Dalmatian03_7305	European_Dogs	European_Dogs
Dalmatian04_13301	European_Dogs	European_Dogs
DandieDinmontTerrier01_7731	European_Dogs	European_Dogs
DandieDinmontTerrier02_7732	European_Dogs	European_Dogs
DandieDinmontTerrier03_7733	European_Dogs	European_Dogs
Dhole02	Wolves	Outgroup
Dingo01	East_Asian_Dogs	East_Asian_Dogs
Dingo02_34694	East_Asian_Dogs	East_Asian_Dogs
Dingo03_35294	East_Asian_Dogs	East_Asian_Dogs
Dingo04_35295	East_Asian_Dogs	East_Asian_Dogs
Dingo05_35296	East_Asian_Dogs	East_Asian_Dogs
Dingo06_35297	East_Asian_Dogs	East_Asian_Dogs
Dingo07_35298	East_Asian_Dogs	East_Asian_Dogs
Dingo08_35299	East_Asian_Dogs	East_Asian_Dogs
Dingo09_35300	East_Asian_Dogs	East_Asian_Dogs
Dingo10_35301	East_Asian_Dogs	East_Asian_Dogs
Dingo11_35302	East_Asian_Dogs	East_Asian_Dogs
Dingo12_35303	East_Asian_Dogs	East_Asian_Dogs
Dingo13_35304	East_Asian_Dogs	East_Asian_Dogs
Dingo14_35305	East_Asian_Dogs	East_Asian_Dogs
Dingo15_35306	East_Asian_Dogs	East_Asian_Dogs
Dingo16_35307	East_Asian_Dogs	East_Asian_Dogs
Dingo17_35308	East_Asian_Dogs	East_Asian_Dogs
Dingo18_35309	East_Asian_Dogs	East_Asian_Dogs
Dingo19_35310	East_Asian_Dogs	East_Asian_Dogs
Dingo20_35311	East_Asian_Dogs	East_Asian_Dogs
Dingo21_35312	East_Asian_Dogs	East_Asian_Dogs
Dingo22_35313	East_Asian_Dogs	East_Asian_Dogs
Dingo23	East_Asian_Dogs	East_Asian_Dogs
Dingo24	East_Asian_Dogs	East_Asian_Dogs
Dingo25	East_Asian_Dogs	East_Asian_Dogs
Dingo26	East_Asian_Dogs	East_Asian_Dogs
Dingo27	East_Asian_Dogs	East_Asian_Dogs
Dingo28	East_Asian_Dogs	East_Asian_Dogs
Dingo29	East_Asian_Dogs	East_Asian_Dogs
Dingo30	East_Asian_Dogs	East_Asian_Dogs
Dingo31	East_Asian_Dogs	East_Asian_Dogs
Dingo32	East_Asian_Dogs	East_Asian_Dogs
Doberman01	European_Dogs	European_Dogs
Doberman02	European_Dogs	European_Dogs
Doberman03	European_Dogs	European_Dogs
Doberman04	European_Dogs	European_Dogs
Doberman05	European_Dogs	European_Dogs
Doberman06	European_Dogs	European_Dogs
Doberman07	European_Dogs	European_Dogs
Doberman08	European_Dogs	European_Dogs
DogoArgentino01_22900	European_Dogs	European_Dogs
DogoArgentino02_33067	European_Dogs	European_Dogs
DogueDeBordeaux01_25487	European_Dogs	European_Dogs
DutchShepherd01	European_Dogs	European_Dogs
EastSiberianLaika01	Arctic_Dogs	Arctic_Dogs
